,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model,param_loss,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate
18,5.140832948684692,0.006074239176295348,0.0025751590728759766,0.0001616957545524214,l2,4.11,"{'penalty': 'l2', 'C': 4.11}",0.7476305322839977,0.7766036219006518,0.7892548870271643,0.7770373191165271,0.7395212754680179,0.7660095271592717,0.019045255180827756,19,0.9376227040127849,0.9280941255536563,0.9382127416376057,0.9335175767710391,0.9373267855631717,0.9349547867076515,0.0038076941976757602,LR,,,,,,
19,5.397038221359253,0.13211279994003863,0.0028014183044433594,0.0004399462526730032,l2,2.41,"{'penalty': 'l2', 'C': 2.41}",0.7474824405517475,0.7764237962257765,0.7894770246255394,0.7771748328679021,0.7394152691500413,0.7659946726842014,0.019153855397977104,20,0.937642548327521,0.9280564213556577,0.9381988506172905,0.9335830630096681,0.9372712511635778,0.9349504268947431,0.0038100655150270215,LR,,,,,,
20,5.000115966796875,0.04624257505348185,0.002884244918823242,0.0005527537719566395,l2,4.51,"{'penalty': 'l2', 'C': 4.51}",0.7476516882457477,0.775990099009901,0.7892443090462893,0.7771959888296521,0.7397544893675663,0.7659673148998312,0.018925814001782258,21,0.9376240269671008,0.9280736197617624,0.9381816522111859,0.9335605727863006,0.9373129019632732,0.9349505547379244,0.003805060145311969,LR,,,,,,
21,4.910491180419922,0.02369674715565757,0.0026282787322998045,0.00036652445411442365,l2,3.91,"{'penalty': 'l2', 'C': 3.91}",0.7475670643987475,0.7765401540154014,0.7892654650080392,0.7770161631547771,0.7394364704136367,0.7659650633981203,0.019074174558790798,22,0.9376174121955221,0.928085526350604,0.9381783448253964,0.9336326737965085,0.9372388560971482,0.9349505626530359,0.00378503647519283,LR,,,,,,
22,4.976486396789551,0.04107588352036927,0.0024684906005859376,0.00023238504190498398,l2,4.26,"{'penalty': 'l2', 'C': 4.26}",0.7472179910298722,0.7765295760345265,0.7891279512566641,0.7771325209444021,0.7395424767316132,0.7659101031994157,0.019091522279024647,23,0.9376571008249942,0.9280888337363935,0.9382378777696049,0.9335698334665108,0.9372342282305154,0.9349575748056038,0.0038035880161301798,LR,,,,,,
23,4.888708543777466,0.054824367203101805,0.0029093265533447266,0.0005955892831441048,l2,4.46,"{'penalty': 'l2', 'C': 4.46}",0.7476199543031227,0.7760429889142761,0.7894770246255395,0.7771748328679022,0.7391820552504929,0.7658993711922667,0.01915143237905821,24,0.9376749607082568,0.9280286393150272,0.9381803292568701,0.9335837244868261,0.9372864570110857,0.9349508221556132,0.0038233861553254697,LR,,,,,,
24,4.886068725585938,0.0314593380261292,0.0025032520294189452,0.00021628713262502252,l2,4.06,"{'penalty': 'l2', 'C': 4.06}",0.7471862570872472,0.7758948971820259,0.7892019971227893,0.7772171447914021,0.7396272817859944,0.7658255155938918,0.019033606922192612,25,0.9375988908351016,0.928106693619656,0.938231924475184,0.933522207111144,0.9373082740966405,0.9349535980275452,0.0038004862228850672,LR,,,,,,
25,82.33467025756836,136.3201582082392,0.006854581832885742,0.006564565952985524,l1,0.16000000000000003,"{'penalty': 'l1', 'loss': 'squared_hinge', 'C': 0.16000000000000003}",0.7343657442667344,0.7384382669036136,0.7622810357958874,0.7305576711517305,0.7179489897597897,0.736718341575551,0.014506458014889352,1,0.9663321356186928,0.9577283022262675,0.9603431214313307,0.9641585216779294,0.9666449818058729,0.9630414125520186,0.0034805866969131777,SVM,squared_hinge,,,,,
26,19.479447317123412,0.9161140769459344,0.0033981800079345703,0.00041826664967208277,l1,0.31000000000000005,"{'penalty': 'l1', 'loss': 'squared_hinge', 'C': 0.31000000000000005}",0.7161821951425912,0.7200114242193449,0.7485931285436236,0.7120673605822121,0.7056522568745097,0.7205012730724564,0.0148301779612793,2,0.9699385090834044,0.9639580940990946,0.9670597604923508,0.9700410380428743,0.9713363163239401,0.9684667436083328,0.0026527897027925724,SVM,squared_hinge,,,,,
27,87.12167954444885,136.9398178645665,0.00876755714416504,0.0075619134616655434,l1,0.36000000000000004,"{'penalty': 'l1', 'loss': 'squared_hinge', 'C': 0.36000000000000004}",0.711993314716087,0.7187526444952188,0.7454937801472454,0.7085766268934586,0.7061080840418089,0.7181848900587637,0.014301058651819085,3,0.9720155473591185,0.9648881309830608,0.9677377745791682,0.9711245376274666,0.9721217314039097,0.9695775443905447,0.0028349703763522493,SVM,squared_hinge,,,,,
