,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
142,1.8506117343902588,0.043177394179584654,0.06580643653869629,0.0039052166173763,214,0.017300000000000034,14,7,"{'n_estimators': 214, 'min_samples_split': 0.017300000000000034, 'min_samples_leaf': 14, 'max_depth': 7}",0.722117202268431,0.7296786389413988,0.7026515151515151,0.7462121212121212,0.7102272727272727,0.7221773500601477,0.01521844771391245,83,0.7539044013251301,0.7553241836251775,0.7568590350047304,0.7464522232734153,0.7568590350047304,0.7538797756466368,0.0038731751247532797
7,2.018337297439575,0.1347393504015169,0.06747369766235352,0.008932550561095126,215,0.01940000000000004,9,8,"{'n_estimators': 215, 'min_samples_split': 0.01940000000000004, 'min_samples_leaf': 9, 'max_depth': 8}",0.724007561436673,0.7296786389413988,0.7026515151515151,0.740530303030303,0.7140151515151515,0.7221766340150083,0.01299484207438463,84,0.759110269758637,0.7657359204921912,0.761116367076632,0.7563859981078525,0.759697256385998,0.760409162364262,0.003074224240862873
123,2.0183194160461424,0.023087777336187866,0.06783890724182129,0.008333718614970937,223,0.019100000000000037,9,9,"{'n_estimators': 223, 'min_samples_split': 0.019100000000000037, 'min_samples_leaf': 9, 'max_depth': 9}",0.7107750472589792,0.724007561436673,0.7083333333333334,0.7424242424242424,0.7234848484848485,0.7218050065876154,0.012132369811465172,85,0.7652626597255088,0.7690487458589683,0.7705771050141911,0.7601702932828761,0.7686849574266793,0.7667487522616447,0.003719670397980599
206,3.057503509521484,0.24160903407096734,0.07059907913208008,0.007708893723950849,228,0.0067000000000000046,12,9,"{'n_estimators': 228, 'min_samples_split': 0.0067000000000000046, 'min_samples_leaf': 12, 'max_depth': 9}",0.7126654064272212,0.722117202268431,0.7083333333333334,0.7481060606060606,0.7178030303030303,0.7218050065876154,0.013949028598212041,85,0.7662091812588736,0.7709417889256981,0.7715231788079471,0.7691579943235572,0.7715231788079471,0.7698710644248046,0.002025994675067425
240,1.5419346809387207,0.03842026676741887,0.04968204498291016,0.010253008756802105,176,0.018700000000000036,5,9,"{'n_estimators': 176, 'min_samples_split': 0.018700000000000036, 'min_samples_leaf': 5, 'max_depth': 9}",0.7126654064272212,0.725897920604915,0.7064393939393939,0.7462121212121212,0.7178030303030303,0.7218035744973363,0.013770325606330472,87,0.7690487458589683,0.7718883104590629,0.7672658467360454,0.7644276253547777,0.772469252601703,0.7690199562021114,0.0029763176332597376
185,1.6173214435577392,0.04789646253640714,0.05454916954040527,0.004623662497600272,171,0.013400000000000023,13,7,"{'n_estimators': 171, 'min_samples_split': 0.013400000000000023, 'min_samples_leaf': 13, 'max_depth': 7}",0.7145557655954632,0.725897920604915,0.7064393939393939,0.7537878787878788,0.7083333333333334,0.7218028584521969,0.017376970757566352,88,0.7595835305253195,0.7610033128253668,0.760643330179754,0.749763481551561,0.7568590350047304,0.7575705380173463,0.004164960998377104
95,1.8310464382171632,0.04082055947881419,0.05789284706115723,0.00728130223381018,232,0.01620000000000003,11,8,"{'n_estimators': 232, 'min_samples_split': 0.01620000000000003, 'min_samples_leaf': 11, 'max_depth': 8}",0.7126654064272212,0.7277882797731569,0.7045454545454546,0.75,0.7140151515151515,0.7218028584521968,0.01595533426978406,89,0.7619498343587316,0.7643161381921438,0.7639545884578998,0.7521286660359509,0.7625354777672658,0.7609769409623983,0.0045096374677652444
139,1.7048223972320558,0.01039118139061977,0.05045900344848633,0.004491807221353782,196,0.007500000000000007,12,9,"{'n_estimators': 196, 'min_samples_split': 0.007500000000000007, 'min_samples_leaf': 12, 'max_depth': 9}",0.7164461247637051,0.725897920604915,0.7026515151515151,0.7443181818181818,0.7196969696969697,0.7218021424070573,0.013591266543080295,90,0.7690487458589683,0.77520113582584,0.7649006622516556,0.7630085146641438,0.7705771050141911,0.7685472327229598,0.004303979493075199
242,1.9224193572998047,0.05751170894439058,0.06229405403137207,0.010053309509038514,232,0.017600000000000032,11,7,"{'n_estimators': 232, 'min_samples_split': 0.017600000000000032, 'min_samples_leaf': 11, 'max_depth': 7}",0.7145557655954632,0.7296786389413988,0.7045454545454546,0.7518939393939394,0.7083333333333334,0.7218014263619179,0.017316278536131508,91,0.754850922858495,0.7562707051585423,0.7587511825922422,0.7478713339640491,0.7563859981078525,0.7548260285362363,0.0036958307940292766
29,1.81638445854187,0.12642271471868216,0.05119314193725586,0.0044769132363545044,185,0.007200000000000006,9,8,"{'n_estimators': 185, 'min_samples_split': 0.007200000000000006, 'min_samples_leaf': 9, 'max_depth': 8}",0.720226843100189,0.724007561436673,0.7026515151515151,0.7462121212121212,0.7159090909090909,0.7218014263619178,0.014175098475431308,92,0.7685754850922859,0.7728348319924279,0.7677388836329234,0.7634815515610217,0.7696310312204352,0.7684523566998188,0.0030274897675132565
61,1.7770702362060546,0.08759377226606481,0.06549749374389649,0.0204042743924012,153,0.00890000000000001,12,8,"{'n_estimators': 153, 'min_samples_split': 0.00890000000000001, 'min_samples_leaf': 12, 'max_depth': 8}",0.720226843100189,0.725897920604915,0.7064393939393939,0.7443181818181818,0.7121212121212122,0.7218007103167784,0.013084062359536892,93,0.7614765735920492,0.7662091812588736,0.7649006622516556,0.760643330179754,0.7644276253547777,0.763531474527422,0.0021171617933632694
117,1.6924410343170166,0.03383583559060084,0.06088261604309082,0.01708283076352418,192,0.019500000000000038,11,7,"{'n_estimators': 192, 'min_samples_split': 0.019500000000000038, 'min_samples_leaf': 11, 'max_depth': 7}",0.722117202268431,0.7277882797731569,0.7007575757575758,0.7424242424242424,0.7159090909090909,0.7217992782264993,0.013702597657417737,94,0.7539044013251301,0.7595835305253195,0.7578051087984863,0.7478713339640491,0.7544938505203406,0.7547316450266651,0.0040197442379725605
50,2.1602766513824463,0.016992932550824822,0.06858129501342773,0.006250700146193721,248,0.012100000000000019,11,7,"{'n_estimators': 248, 'min_samples_split': 0.012100000000000019, 'min_samples_leaf': 11, 'max_depth': 7}",0.7164461247637051,0.7334593572778828,0.7045454545454546,0.7424242424242424,0.7121212121212122,0.7217992782264993,0.014009726898079144,94,0.7605300520586843,0.763369616658779,0.760643330179754,0.7530747398297067,0.760643330179754,0.7596522137813356,0.0034588284493217384
177,2.041456174850464,0.14793059040624085,0.09952492713928222,0.04713265206480708,214,0.01670000000000003,7,7,"{'n_estimators': 214, 'min_samples_split': 0.01670000000000003, 'min_samples_leaf': 7, 'max_depth': 7}",0.725897920604915,0.7277882797731569,0.7045454545454546,0.7386363636363636,0.7121212121212122,0.7217978461362204,0.012062452809205539,96,0.7605300520586843,0.7605300520586843,0.7592242194891201,0.7492904446546831,0.7582781456953642,0.7575705827913073,0.004226411334506552
44,2.3788464069366455,0.10033675034806123,0.06783156394958496,0.008204562962138427,229,0.013500000000000022,7,7,"{'n_estimators': 229, 'min_samples_split': 0.013500000000000022, 'min_samples_leaf': 7, 'max_depth': 7}",0.720226843100189,0.7334593572778828,0.7007575757575758,0.7443181818181818,0.7102272727272727,0.7217978461362204,0.015634548656695373,96,0.7610033128253668,0.7610033128253668,0.7625354777672658,0.7530747398297067,0.760643330179754,0.759652034685492,0.003352897958641745
244,2.3620718002319334,0.09312800682693673,0.0956183910369873,0.024217801281509497,239,0.007400000000000006,10,9,"{'n_estimators': 239, 'min_samples_split': 0.007400000000000006, 'min_samples_leaf': 10, 'max_depth': 9}",0.7126654064272212,0.725897920604915,0.7045454545454546,0.7462121212121212,0.7178030303030303,0.7214247866185485,0.014206875766984829,98,0.7681022243256034,0.7718883104590629,0.771996215704825,0.7667928098391674,0.7734153263954588,0.7704389773448235,0.0025353170850702564
73,1.768317699432373,0.036680513767674124,0.05427680015563965,0.00491298570484901,203,0.010000000000000012,14,8,"{'n_estimators': 203, 'min_samples_split': 0.010000000000000012, 'min_samples_leaf': 14, 'max_depth': 8}",0.7145557655954632,0.724007561436673,0.7045454545454546,0.7481060606060606,0.7159090909090909,0.7214247866185485,0.0147042803806682,98,0.7576904874585897,0.7605300520586843,0.7644276253547777,0.7511825922421949,0.7625354777672658,0.7592732469763025,0.00462067412688996
162,2.418963575363159,0.05404353733113199,0.07305698394775391,0.014810539783680762,249,0.01250000000000002,13,9,"{'n_estimators': 249, 'min_samples_split': 0.01250000000000002, 'min_samples_leaf': 13, 'max_depth': 9}",0.7164461247637051,0.722117202268431,0.6988636363636364,0.7443181818181818,0.7253787878787878,0.7214247866185485,0.0146561501347002,98,0.7638428774254614,0.7657359204921912,0.7682119205298014,0.7639545884578998,0.7686849574266793,0.7660860528664066,0.002047983764522487
191,1.5700958251953125,0.04274716715455853,0.05243520736694336,0.0036817037764787265,213,0.015300000000000029,8,7,"{'n_estimators': 213, 'min_samples_split': 0.015300000000000029, 'min_samples_leaf': 8, 'max_depth': 7}",0.724007561436673,0.720226843100189,0.7045454545454546,0.740530303030303,0.7178030303030303,0.7214226384831299,0.011585814591684795,101,0.7614765735920492,0.7652626597255088,0.761116367076632,0.7473982970671712,0.7601702932828761,0.7590848381488475,0.006095349751235791
